           1  0.116231680    
           2  0.128455997    
           3  0.141965866    
           4  0.156896353    
           5  0.173397660    
           6  0.191633821    
           7  0.211788177    
           8  0.234062433    
           9  0.258678198    
          10  0.285884380    
          11  0.315950871    
          12  0.349179745    
          13  0.385903120    
          14  0.426488876    
          15  0.471343040    
          16  0.520914555    
          17  0.575699806    
          18  0.636246681    
          19  0.703161240    
          20  0.777114868    
          21  0.858842850    
